phase,sample,epoch,pid,rss_kb,cpu_percent,open_handles
workload,1,1784567775.919710,72356,12864,98.3,10
workload,2,1784567776.954588,72356,12864,101.8,10
workload,3,1784567777.990786,72356,12864,100.6,10
workload,4,1784567779.028482,72356,12864,100.3,10
workload,5,1784567780.064804,72356,12864,100.2,10
idle,1,1784567782.089751,72419,12448,1.8,10
idle,2,1784567783.144403,72419,12448,0.0,10
idle,3,1784567784.206012,72419,12448,0.0,10
idle,4,1784567785.263276,72419,12448,0.0,10
idle,5,1784567786.310260,72419,12448,0.0,10
